state,district,year,quarter,period_id,district_key,period_label,transaction_count,transaction_amount,registered_users,registered_merchants,average_transaction_value,merchants_per_100k_users,users_per_merchant,transactions_per_registered_user,tpv_per_registered_user,transactions_per_merchant,prior_period_id,prior_transactions,prior_tpv,prior_users,prior_merchants,transaction_qoq,tpv_qoq,user_qoq,merchant_qoq,transaction_yoy,positive_yoy_quarters_last4,average_yoy_last4,growth_percentile,intensity_percentile,low_penetration_percentile,scale_percentile,opportunity_score,equal_weight_score,no_intensity_score,opportunity_percentile,business_segment,opportunity_rank,equal_weight_rank,no_intensity_rank,investigation_rank,opportunity_shortlist_rank,equal_weight_shortlist_rank,no_intensity_shortlist_rank,recommendation
andhra pradesh,west godavari,2026,2,8105,andhra pradesh|west godavari,2026-Q2,116947182,175440890450.44,1195968,48583,1500.172021677615,4062.232434312624,24.61700594858284,97.78454105795473,146693.6326477297,2407.162628903114,8104,108897235,161885079487.32,1163644,47124,0.0739224186913469,0.0837372474724069,0.0277782552052001,0.0309608691961633,0.3053306759084742,4.0,0.2980419723069188,0.8070692194403535,0.9955817378497792,0.9057437407952872,0.7466863033873343,86.6789396171,86.3770250368,82.6509572901,1.0,EXPAND,1,1,2,1,1,1,2,Priority field validation
telangana,sangareddy,2026,2,8105,telangana|sangareddy,2026-Q2,199983054,247694265165.86,1849509,102640,1238.5762703966907,5549.580996902421,18.019378409976618,108.12764576976916,133924.3362242952,1948.392965705378,8104,185277689,230592730732.57,1780493,99533,0.0793693243874604,0.0741633718416019,0.0387622978579529,0.0312157776817738,0.3234052018030091,4.0,0.2909884768272894,0.8792341678939617,0.9867452135493372,0.695139911634757,0.8924889543446245,86.2739322533,86.3402061856,81.8114874816,0.9985272459499264,EXPAND,2,2,4,2,2,2,4,Priority field validation
andhra pradesh,dr br ambedkar konaseema,2026,2,8105,andhra pradesh|dr br ambedkar konaseema,2026-Q2,90739703,131195398848.15,930577,45653,1445.843379586001,4905.880974922011,20.383698771165093,97.50907555204996,140982.85133648262,1987.595623507765,8104,84156459,122361798755.1,919295,43914,0.0782262476133888,0.072192466790472,0.0122724479084515,0.0396001275219748,0.3295914408846017,4.0,0.3314686543264522,0.9086892488954345,0.9896907216494846,0.8070692194403535,0.6406480117820325,84.9926362297,83.6524300442,80.6111929308,0.9970544918998528,EXPAND,3,5,6,3,3,5,6,Priority field validation
andhra pradesh,east godavari,2026,2,8105,andhra pradesh|east godavari,2026-Q2,137797638,199632453172.06,1370485,74989,1448.7363939580734,5471.712568908088,18.27581378602195,100.54662254603298,145665.55137200333,1837.571350464735,8104,127045400,183870485589.45,1339657,73104,0.0846330366939691,0.0857232063758381,0.0230118604986202,0.0257851827533377,0.3218624340276936,4.0,0.2955351815683821,0.8748159057437408,0.9764359351988218,0.7172312223858616,0.7952871870397643,84.4918998527,84.0942562592,79.9779086892,0.9955817378497792,EXPAND,4,4,7,4,4,4,7,Priority field validation
andhra pradesh,sri potti sriramulu nellore,2026,2,8105,andhra pradesh|sri potti sriramulu nellore,2026-Q2,167305685,260563771098.72,1729942,93583,1557.4113401987506,5409.603327741624,18.48564376008463,96.71173079791114,150619.94627491556,1787.778602951391,8104,152707700,228558571072.33,1687374,90460,0.0955942955070372,0.1400306270564739,0.0252273651247441,0.0345235463188149,0.3048670644189575,4.0,0.2702953725600167,0.8055964653902798,0.9705449189985272,0.727540500736377,0.8748159057437408,84.11634757,84.4624447717,79.558173785,0.9941089837997056,EXPAND,5,3,9,5,5,3,9,Priority field validation
andhra pradesh,alluri sitharama raju,2026,2,8105,andhra pradesh|alluri sitharama raju,2026-Q2,22403546,28684114124.23,411684,11247,1280.3381270192674,2731.9497478648677,36.60389437183249,54.419277892752696,69675.07633094801,1991.9574997777183,8104,20991582,28683764783.17,403857,10865,0.0672633439442533,1.2179051900762516e-05,0.0193806223489998,0.0351587666820063,0.3787052917103264,4.0,0.2976276188080426,0.9823269513991164,0.9911634756995582,0.9720176730486008,0.2547864506627393,83.6450662739,80.0073637703,79.6833578792,0.9926362297496318,EXPAND,6,12,8,6,6,12,8,Priority field validation
andhra pradesh,tirupati,2026,2,8105,andhra pradesh|tirupati,2026-Q2,225322514,296625059979.72,2219362,118910,1316.4466111882632,5357.846083694323,18.6642166344294,101.52580516382636,133653.30215607907,1894.8996215625264,8104,211434880,274980725705.73,2150225,115731,0.0656827955728023,0.0787121868939739,0.0321533792975152,0.0274688717802489,0.2817131382799915,4.0,0.2593492358537423,0.7010309278350515,0.9808541973490428,0.7349042709867453,0.91899852724595,82.3048600884,83.3946980854,76.7378497791,0.9911634756995582,EXPAND,7,6,16,7,7,6,15,Investigate; sensitive to intensity weighting
andhra pradesh,eluru,2026,2,8105,andhra pradesh|eluru,2026-Q2,131965615,190892439048.95,1279217,67639,1446.5316518166494,5287.531357072334,18.912417392332827,103.1612423849902,149226.0023506176,1951.0284746965508,8104,121039764,175237412785.24,1255721,65450,0.0902666251067707,0.0893360956138735,0.0187111627503242,0.0334453781512604,0.2915598160731087,4.0,0.2819361122824442,0.7466863033873343,0.9882179675994108,0.7466863033873343,0.7790868924889544,81.3549337261,81.5169366716,75.4786450663,0.9896907216494846,EXPAND,8,7,21,8,8,7,20,Investigate; sensitive to intensity weighting
karnataka,mandya,2026,2,8105,karnataka|mandya,2026-Q2,78895989,121870206985.62,975953,41069,1544.694584988598,4208.091988036309,23.76373907326694,80.83994721057265,124873.02870693569,1921.0594122087216,8104,71413936,111280591441.68,954428,40005,0.1047702089967426,0.0951613880439323,0.0225527750652747,0.026596675415573,0.2821500060787401,4.0,0.2092608368619931,0.7069219440353461,0.9823269513991164,0.8836524300441826,0.6612665684830633,81.0824742268,80.854197349,75.736377025,0.9882179675994108,EXPAND,9,9,20,9,9,10,19,Investigate; sensitive to intensity weighting
karnataka,hassan,2026,2,8105,karnataka|hassan,2026-Q2,88081824,127101185281.38,1110612,42357,1442.989932649215,3813.8431783557176,26.22027055740492,79.30926732288144,114442.47431270329,2079.510446915504,8104,81190857,119506787478.48,1087481,41466,0.0848736822669578,0.0635478365968758,0.0212702566757487,0.0214874837216032,0.2641339570765659,4.0,0.2096821954520592,0.5994108983799705,0.9941089837997056,0.9234167893961708,0.7172312223858616,80.265095729,80.854197349,74.2268041237,0.9867452135493372,EXPAND,10,9,23,10,10,9,22,Investigate; sensitive to intensity weighting
